"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.444378458E0,-2.159259796E0,4.043990479E0,8.649762726E0,9.789517714E0
1.454330458E0,-2.149979095E0,3.925287323E0,8.733588409E0,9.813554768E0
1.464283458E0,-2.032024384E0,3.801644440E0,8.793314209E0,9.793058680E0
1.474235458E0,-1.794019318E0,3.780987396E0,8.858279114E0,9.797115895E0
1.484187458E0,-1.486109619E0,3.893852692E0,8.937913513E0,9.861891733E0
1.494140458E0,-1.142424316E0,4.010160828E0,8.811426544E0,9.748218346E0
1.504092458E0,-8.523275757E-1,4.180805969E0,8.417146454E0,9.436840323E0
1.514044458E0,-6.849755859E-1,4.398752747E0,7.761210480E0,8.947323923E0
1.523997458E0,-5.978567505E-1,4.560416565E0,6.970854034E0,8.351505128E0
1.533949458E0,-6.237528992E-1,4.651277618E0,6.294710083E0,7.851549286E0
1.543901458E0,-7.032376099E-1,4.702471161E0,5.843248901E0,7.533348251E0
1.553853458E0,-7.946974182E-1,4.677772522E0,5.648803253E0,7.377132095E0
1.563806458E0,-8.652008057E-1,4.571343842E0,5.702242126E0,7.359437629E0
1.573758458E0,-9.120533752E-1,4.480931854E0,5.879772949E0,7.448645620E0
1.583710458E0,-9.437873840E-1,4.519102478E0,6.027216339E0,7.592124777E0
1.593663458E0,-9.355545044E-1,4.655768280E0,6.245462494E0,7.845842356E0
1.603615458E0,-9.451345825E-1,4.785249023E0,6.453679504E0,8.089614746E0
1.613567458E0,-9.994715881E-1,4.840633850E0,6.558162231E0,8.212196502E0
1.623519458E0,-9.574090576E-1,4.859045563E0,6.590195618E0,8.243642045E0
1.633472458E0,-8.924441528E-1,4.855003967E0,6.543343048E0,8.196515011E0
1.643424458E0,-8.568182373E-1,4.870122528E0,6.531817017E0,8.192488295E0
1.653376458E0,-7.988887024E-1,4.971611481E0,6.642436981E0,8.335293212E0
1.663329458E0,-7.141648865E-1,5.164410553E0,6.818470917E0,8.583281044E0
1.673281458E0,-6.969506836E-1,5.375022583E0,7.059469757E0,8.900152879E0
1.683233458E0,-7.126679993E-1,5.511838074E0,7.320826263E0,9.191449930E0
1.693186458E0,-7.595205688E-1,5.594765625E0,7.495962067E0,9.384440377E0
1.703138458E0,-8.357121277E-1,5.665568390E0,7.605234833E0,9.520329658E0
1.713090458E0,-8.580157471E-1,5.710924072E0,7.708819427E0,9.632068404E0
1.723042458E0,-8.681945801E-1,5.741161194E0,7.828720093E0,9.746976556E0
1.732995458E0,-8.620573425E-1,5.772595825E0,7.969876556E0,9.878508883E0
1.742947458E0,-8.464897156E-1,5.854924622E0,8.121062164E0,1.004730500E1
1.752899458E0,-8.388555908E-1,5.985004120E0,8.289611664E0,1.025873357E1
1.762852458E0,-8.225395203E-1,6.108647003E0,8.469238129E0,1.047473789E1
1.772804458E0,-7.622149658E-1,6.186934204E0,8.528814240E0,1.056408060E1
1.782756458E0,-7.000941467E-1,6.287824402E0,8.535550232E0,1.062461695E1
1.792708458E0,-6.274951172E-1,6.456822968E0,8.512198792E0,1.070242221E1
1.802661458E0,-4.200265503E-1,6.619235229E0,8.418793030E0,1.071759177E1
1.812613458E0,-3.013233948E-1,6.680607605E0,8.243357849E0,1.061481335E1
1.822565458E0,-3.013233948E-1,6.662495270E0,8.043673096E0,1.044893850E1
1.832518458E0,-3.577560425E-1,6.615493011E0,8.037984924E0,1.041642639E1
1.842470458E0,-4.043092346E-1,6.572532349E0,8.302484894E0,1.059683457E1
1.852422458E0,-3.291654968E-1,6.534062347E0,8.762628021E0,1.093553705E1
1.862375458E0,-1.531315613E-1,6.487958221E0,9.340276794E0,1.137355801E1
1.872327458E0,9.954299927E-2,6.388714600E0,9.834249573E0,1.172766165E1
1.882279458E0,3.174897766E-1,6.233936462E0,1.020802231E1,1.196521972E1
1.892231458E0,4.149371338E-1,6.228547668E0,1.049093399E1,1.220764821E1
1.902184458E0,6.131250000E-1,6.321354675E0,1.048285080E1,1.225665566E1
1.912136458E0,9.053173828E-1,6.070626068E0,1.000684067E1,1.173920613E1
1.922088458E0,7.920030212E-1,5.547913055E0,9.540260925E0,1.106450119E1
1.932041458E0,3.604504395E-1,5.229525146E0,9.466614075E0,1.082102767E1
1.941993458E0,1.227447510E-2,5.088069305E0,9.739795990E0,1.098873177E1
1.951945458E0,-1.565744019E-1,4.888833618E0,1.017404297E1,1.128877141E1
1.961897458E0,-1.996847534E-1,4.733007660E0,1.065259781E1,1.165843367E1
1.971850458E0,-4.460723877E-2,4.692442017E0,1.102951401E1,1.198629138E1
1.981802458E0,2.469863892E-1,4.666096802E0,1.111917755E1,1.206107670E1
1.991754458E0,6.105802917E-1,4.685107269E0,1.077339661E1,1.176389021E1
2.001707458E0,8.544232178E-1,4.760999451E0,1.012629227E1,1.122225244E1
2.011659458E0,9.460327148E-1,4.913532257E0,9.496102753E0,1.073376656E1
2.021611458E0,9.611512756E-1,5.120402069E0,8.998687134E0,1.039801420E1
2.031563458E0,9.403445435E-1,5.159021759E0,8.564440155E0,1.004237963E1
2.041516458E0,8.786727905E-1,4.988226929E0,8.168363800E0,9.611276759E0
2.051468458E0,7.758366394E-1,4.779560852E0,7.914342041E0,9.278088940E0
2.061420458E0,7.026388550E-1,4.603077850E0,7.865693207E0,9.140632182E0
2.071373458E0,6.565347290E-1,4.354893951E0,7.998467102E0,9.130805833E0
2.081325458E0,6.631210327E-1,4.028123474E0,8.262218628E0,9.215734636E0
2.091277458E0,7.743397522E-1,3.802243195E0,8.667425995E0,9.496363975E0
2.101230458E0,9.030720520E-1,3.820804596E0,9.309740295E0,1.010372957E1
2.111182458E0,9.735754395E-1,3.982019348E0,1.007644592E1,1.087837716E1
2.121134458E0,1.077160034E0,4.078718262E0,1.065858536E1,1.146305623E1
2.131086458E0,1.169667664E0,4.057761841E0,1.087698120E1,1.166800213E1
2.141039458E0,1.118324432E0,4.031117249E0,1.071471863E1,1.150242370E1
2.150991458E0,9.321116638E-1,4.066593475E0,1.023062531E1,1.104860664E1
2.160943458E0,6.806346130E-1,4.120481415E0,9.538764038E0,1.041295587E1
2.170896458E0,4.309538269E-1,4.180207214E0,8.738827515E0,9.696749965E0
2.180848458E0,2.380050659E-1,4.270469513E0,8.044421539E0,9.110777913E0
2.190800458E0,9.041198730E-2,4.350702667E0,7.510481873E0,8.680099422E0
2.200752458E0,1.302291870E-2,4.389472046E0,7.111262054E0,8.356894306E0
2.210705458E0,-3.592529297E-2,4.416565704E0,6.881040802E0,8.176555862E0
2.220657458E0,-7.155120850E-2,4.438120880E0,6.717880096E0,8.051828954E0
2.230609458E0,-7.963439941E-2,4.448748779E0,6.596482544E0,7.956839152E0
2.240562458E0,-1.466949463E-2,4.491559753E0,6.560108185E0,7.950430404E0
2.250514458E0,8.427474976E-2,4.609065399E0,6.633156281E0,8.077706873E0
2.260466458E0,2.291734314E-1,4.747078400E0,6.717131653E0,8.228434325E0
2.270419458E0,3.456312561E-1,4.827610931E0,6.729555817E0,8.289282825E0
2.280371125E0,4.382885742E-1,4.870272217E0,6.700216827E0,8.294851046E0
2.290323125E0,4.294569397E-1,4.801265717E0,6.677613831E0,8.235721718E0
2.300275125E0,2.513273621E-1,4.647685089E0,6.721921692E0,8.176085455E0
2.310228125E0,5.388793945E-2,4.461622009E0,6.867868195E0,8.190029817E0
2.320180125E0,-7.050338745E-2,4.316274261E0,7.063810730E0,8.278442864E0
2.330132125E0,-2.125579834E-1,4.235292664E0,7.190597076E0,8.347908191E0
2.340085125E0,-2.546205139E-1,4.235292664E0,7.241640930E0,8.393086376E0
2.350037125E0,-2.179467773E-1,4.282145233E0,7.215146027E0,8.393009042E0
2.359989125E0,-1.499880981E-1,4.417314148E0,7.246281281E0,8.487859159E0
2.369941125E0,-3.293151855E-3,4.596790924E0,7.381899261E0,8.696144798E0
2.379894125E0,1.098715210E-1,4.702471161E0,7.486531677E0,8.841575839E0
2.389846125E0,1.508862305E-1,4.729714508E0,7.483388214E0,8.854042305E0
2.399798125E0,1.490899658E-1,4.810097351E0,7.447762299E0,8.867267200E0
2.409751125E0,1.206491089E-1,5.004542999E0,7.489525452E0,9.008495897E0
2.419703125E0,7.304809570E-2,5.190606079E0,7.477250977E0,9.102582582E0
2.429655125E0,4.430786133E-2,5.241350555E0,7.418123932E0,9.083076654E0
2.439607125E0,3.338058472E-2,5.280119934E0,7.419171753E0,9.106310465E0
2.449560125E0,-3.233276367E-2,5.401218109E0,7.535779266E0,9.271578702E0
2.459512125E0,-1.184037781E-1,5.515729980E0,7.720495148E0,9.489117029E0
2.469464125E0,-1.715432739E-1,5.601202240E0,7.883356476E0,9.672135387E0
2.479417125E0,-1.595681763E-1,5.700595551E0,7.990084534E0,9.816501540E0
2.489369125E0,-1.269360352E-1,5.820047150E0,8.025860138E0,9.914811775E0
2.499321125E0,-8.232879639E-2,5.995182953E0,8.057594147E0,1.004359597E1
2.509273125E0,-6.646179199E-2,6.186934204E0,8.064629517E0,1.016468501E1
2.519226125E0,-2.529739380E-2,6.312822418E0,7.991282043E0,1.018395579E1
2.529178125E0,2.409988403E-2,6.415957947E0,7.913593597E0,1.018774071E1
2.539130125E0,-8.681945801E-3,6.482868805E0,7.820786591E0,1.015836435E1
2.549083125E0,-1.200503540E-1,6.506220245E0,7.796537018E0,1.015535836E1
2.559035125E0,-2.630030823E-1,6.428531799E0,7.941884766E0,1.022099434E1
2.568987125E0,-4.382885742E-1,6.212381287E0,8.277935944E0,1.035905409E1
2.578940125E0,-6.432124329E-1,5.948031006E0,8.884025574E0,1.071068184E1
2.588892125E0,-9.327104187E-1,5.703439636E0,9.664203186E0,1.126037280E1
2.598844125E0,-1.455423431E0,5.564229126E0,1.047910858E1,1.195368645E1
2.608796125E0,-1.972148895E0,5.554349670E0,1.101424576E1,1.249214878E1
2.618749125E0,-2.097288666E0,5.423072662E0,1.103175934E1,1.247028672E1
2.628701125E0,-2.015259247E0,5.078489227E0,1.081860260E1,1.212000350E1
2.638653125E0,-1.883832550E0,4.940176849E0,1.082084793E1,1.204345973E1
2.648606125E0,-1.580263824E0,5.163362732E0,1.104148911E1,1.229113624E1
2.658558125E0,-1.174457703E0,5.314997406E0,1.123219254E1,1.248161438E1
2.668510125E0,-9.494755554E-1,5.208419037E0,1.148322052E1,1.264489961E1
2.678462125E0,-8.973838806E-1,4.948260040E0,1.179427368E1,1.282167957E1
2.688415125E0,-9.627978516E-1,4.613705750E0,1.203302719E1,1.292311897E1
2.698367125E0,-1.143921204E0,4.280348969E0,1.190983337E1,1.270724494E1
2.708319125E0,-1.354832611E0,4.080813904E0,1.143561951E1,1.221728313E1
2.718272125E0,-1.477427673E0,4.024680634E0,1.086455704E1,1.167987356E1
2.728224125E0,-1.390308838E0,4.104315033E0,1.045845154E1,1.132066999E1
2.738176125E0,-1.038839722E0,4.264781342E0,1.021715332E1,1.112015152E1
2.748128125E0,-5.260061646E-1,4.455335083E0,1.012554382E1,1.107489643E1
2.758081125E0,-7.529342651E-2,4.663252716E0,1.018242554E1,1.119970468E1
2.768033125E0,2.529739380E-1,4.794080658E0,1.035905823E1,1.141741181E1
2.777985125E0,3.920347595E-1,4.673581238E0,1.058793228E1,1.158017111E1
2.787938125E0,3.629951477E-1,4.329895935E0,1.074884766E1,1.159385571E1
2.797890125E0,2.243833923E-1,3.926484833E0,1.083836151E1,1.152986172E1
2.807842125E0,-2.454895020E-2,3.522774353E0,1.084360062E1,1.140150061E1
2.817795125E0,-2.170486450E-1,3.196752319E0,1.076755875E1,1.123417362E1
2.827747125E0,-3.014730835E-1,3.007994843E0,1.055200699E1,1.097650994E1
2.837699125E0,-3.242257690E-1,3.016227722E0,1.013138168E1,1.057580478E1
2.847651125E0,-2.742297363E-1,3.207380219E0,9.473649445E0,1.000562460E1
2.857604125E0,-2.315684509E-1,3.468587036E0,8.698261871E0,9.367202334E0
2.867556125E0,-2.772235107E-1,3.666625214E0,7.981701965E0,8.787978129E0
2.877508125E0,-4.032614136E-1,3.756139069E0,7.452702026E0,8.355475328E0
2.887461125E0,-5.938151550E-1,3.823498993E0,7.249275055E0,8.217283603E0
2.897413125E0,-8.051756287E-1,3.846551056E0,7.345524902E0,8.330726193E0
2.907365125E0,-1.016685791E0,3.809877319E0,7.573201447E0,8.538278242E0
2.917317125E0,-1.199306030E0,3.680097198E0,7.823331299E0,8.728457078E0
2.927270125E0,-1.309626617E0,3.543730774E0,7.986342316E0,8.834863511E0
