"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.936768833E0	1.317859497E0	9.838740234E0	3.338058472E-1	9.932219762E0
1.946740833E0	1.085542603E0	9.558522949E0	3.249742126E-1	9.625454376E0
1.956711833E0	7.955955505E-1	9.212742004E0	6.960525513E-1	9.273191289E0
1.966683833E0	5.833369446E-1	8.935817871E0	1.075663147E0	9.019211397E0
1.976655833E0	3.766168213E-1	8.624764709E0	1.270557861E0	8.725979819E0
1.986627833E0	1.347198486E-3	8.402027893E0	1.308279419E0	8.503274050E0
1.996598833E0	-2.697390747E-1	8.167016602E0	1.211580505E0	8.260801817E0
2.006570833E0	-3.697311401E-1	8.069269867E0	1.054557037E0	8.146281842E0
2.016542833E0	-2.899470520E-1	8.175099792E0	8.270301819E-1	8.221940454E0
2.026513833E0	-1.387614441E-1	8.376281433E0	6.048921204E-1	8.399240434E0
2.036485833E0	1.486408997E-1	8.560697937E0	4.842430115E-1	8.575671086E0
2.046457833E0	4.320016479E-1	8.746012573E0	4.242178345E-1	8.766944857E0
2.056429833E0	4.966671753E-1	8.821605377E0	3.948788452E-1	8.844395345E0
2.066400833E0	5.047503662E-1	8.886420593E0	3.779640198E-1	8.908765385E0
2.076372833E0	3.908372498E-1	8.871601410E0	4.405339050E-1	8.891126782E0
2.086344833E0	3.709286499E-1	8.822204132E0	5.438191223E-1	8.846728946E0
2.096316833E0	3.841012573E-1	8.856782227E0	6.200106812E-1	8.886761977E0
2.106287833E0	4.333488464E-1	8.936865692E0	7.104226685E-1	8.975525611E0
2.116259833E0	4.864883423E-1	8.996591492E0	7.207511902E-1	9.038518222E0
2.126231833E0	5.980064392E-1	9.009614410E0	7.402107239E-1	9.059728221E0
2.136203833E0	7.559280396E-1	9.111103363E0	8.283773804E-1	9.179860608E0
2.146174833E0	8.825646973E-1	9.269324341E0	7.623646545E-1	9.342403012E0
2.156146833E0	1.046473846E0	9.364825745E0	6.409671021E-1	9.444887906E0
2.166118833E0	1.031355286E0	9.378597107E0	4.400848389E-1	9.445393167E0
2.176090833E0	9.379495239E-1	9.333540802E0	2.107617188E-1	9.382918188E0
2.186061833E0	9.023236084E-1	9.268875275E0	9.145980835E-2	9.313141342E0
2.196033833E0	8.960366821E-1	9.285341034E0	1.454974365E-1	9.329609282E0
2.206005833E0	9.154962158E-1	9.279952240E0	2.215393066E-1	9.327632420E0
2.215976875E0	9.714797974E-1	9.258995819E0	1.984872437E-1	9.311937165E0
2.225948875E0	1.101409607E0	9.226213989E0	3.055146790E-1	9.296744964E0
2.235920875E0	1.072968750E0	9.198072510E0	4.583468628E-1	9.271778776E0
2.245892875E0	9.334588623E-1	9.109007721E0	4.087998962E-1	9.165832448E0
2.255863875E0	8.602610779E-1	9.143585815E0	2.884501648E-1	9.188493575E0
2.265835875E0	7.438032532E-1	9.319769440E0	1.507365417E-1	9.350618546E0
2.275807875E0	6.204597473E-1	9.494755554E0	-3.412902832E-2	9.515067952E0
2.285779875E0	4.263134766E-1	9.542655945E0	-1.975891113E-1	9.554217243E0
2.295750875E0	1.588197327E-1	9.572444000E0	-2.008822632E-1	9.575868709E0
2.305722875E0	-1.194515991E-1	9.564510498E0	-1.437011719E-2	9.565267181E0
2.315694875E0	-2.851570129E-1	9.636810150E0	3.734733582E-1	9.648259260E0
2.325665875E0	-3.308120728E-2	9.906549225E0	1.023721161E0	9.959358259E0
2.335637875E0	3.903881836E-1	1.032448013E1	1.828747101E0	1.049245486E1
2.345609875E0	6.870712280E-1	1.069810318E1	2.498005371E0	1.100733889E1
2.355581875E0	6.963519287E-1	1.088686066E1	2.514022064E0	1.119504122E1
2.365552875E0	4.345463562E-1	1.094029953E1	1.923200684E0	1.111655006E1
2.375524875E0	-1.695973206E-1	1.089464447E1	1.026864624E0	1.094424471E1
2.385496875E0	-8.099656677E-1	1.092413315E1	3.517684937E-1	1.095976599E1
2.395468875E0	-1.178948364E0	1.105331451E1	2.532733154E-1	1.111889511E1
2.405439875E0	-1.127904510E0	1.123383911E1	9.183403015E-1	1.132760604E1
2.415411875E0	-8.897497559E-1	1.140972336E1	1.821861420E0	1.158846930E1
2.425383875E0	-6.480024719E-1	1.149070496E1	2.412084045E0	1.175901174E1
2.435355875E0	-5.432203674E-1	1.147917892E1	2.622247009E0	1.178740075E1
2.445326875E0	-4.897814941E-1	1.141002274E1	2.310445404E0	1.165189524E1
2.455298875E0	-5.536985779E-1	1.131886230E1	1.517544250E0	1.143355441E1
